FullName,University,JoinYear,SubField,Bachelors,Doctorate
Shuiwang Ji,Texas A&M University,2015,Machine Learning & Data Mining,,Arizona State University
Sing-Hoi Sze,Texas A&M University,2002,Comp. Bio & Bioinformatics,The Chinese University of Hong Kong,University of Southern California
Theodora Chaspari,Texas A&M University,,,,
Thomas R. Ioerger,Texas A&M University,1996,Comp. Bio & Bioinformatics,Pennsylvania State University,University of Illinois at Urbana-Champaign
Tiffani L. Williams,Texas A&M University,2005,Comp. Bio & Bioinformatics,Marquette University,University of Central Florida
Timothy A. Davis,Texas A&M University,2014,Algorithms & Complexity,Purdue University,University of Illinois at Urbana-Champaign
Tracy Anne Hammond,Texas A&M University,2006,Human-Computer Interaction,Columbia University,Massachusetts Institute of Technology
Valerie E. Taylor,Texas A&M University,2003,High-Performance Computing,Purdue University,"University of California, Berkeley"
Vivek Sarin,Texas A&M University,2005,Scientific Computing,Indian Institute of Technology Delhi,University of Illinois at Urbana-Champaign
Xia Hu,Texas A&M University,,,,
Yoonsuck Choe,Texas A&M University,2001,Artificial Intelligence,Yonsei University,University of Texas at Austin
Yupeng Zhang,Texas A&M University,,,,
Zhangyang Wang,Texas A&M University,,,,
Oleg Komogortsev,Texas State University,,Computer Security,,Texas State University
Avrim Blum,Toyota Technological Institute at Chicago,1996,Machine Learning & Data Mining,,Massachusetts Institute of Technology
David A. McAllester,Toyota Technological Institute at Chicago,2002,Machine Learning & Data Mining,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Greg Shakhnarovich,Toyota Technological Institute at Chicago,2008,Machine Learning & Data Mining,Hebrew University of Jerusalem,Massachusetts Institute of Technology
Jinbo Xu,Toyota Technological Institute at Chicago,2012,Comp. Bio & Bioinformatics,University of Science and Technology of China,University of Waterloo
Julia Chuzhoy,Toyota Technological Institute at Chicago,2007,Algorithms & Complexity,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology
Karen Livescu,Toyota Technological Institute at Chicago,2005,Natural Language Processing,Princeton University,Massachusetts Institute of Technology
Madhur Tulsiani,Toyota Technological Institute at Chicago,2013,Algorithms & Complexity,Indian Institute of Technology Kanpur,"University of California, Berkeley"
Nathan Srebro,Toyota Technological Institute at Chicago,2013,Machine Learning & Data Mining,,Massachusetts Institute of Technology
Yury Makarychev,Toyota Technological Institute at Chicago,2007,Algorithms & Complexity,,Princeton University
Alva L. Couch,Tufts University,1982,Computer Networks,Massachusetts Institute of Technology,Tufts University
Anselm Blumer,Tufts University,1996,Comp. Bio & Bioinformatics,,University of Illinois at Urbana-Champaign
Diane L. Souvaine,Tufts University,,,,
Donna K. Slonim,Tufts University,2005,Comp. Bio & Bioinformatics,Yale University,Massachusetts Institute of Technology
Elaine Schaertl Short,Tufts University,,,,
Fahad R. Dogar,Tufts University,2014,High-Performance Computing,Lahore University of Management Sciences,Carnegie Mellon University
Jeffrey S. Foster,Tufts University,2002,Programming Languages,Cornell University,"University of California, Berkeley"
Kathleen Fisher,Tufts University,2011,Programming Languages,Stanford University,Stanford University
Lenore Cowen,Tufts University,2001,Comp. Bio & Bioinformatics,Yale University,Massachusetts Institute of Technology
Li-Ping Liu,Tufts University,,,,
Matthias Scheutz,Tufts University,,Artificial Intelligence,,Indiana University Bloomington
Michael C. Hughes,Tufts University,,,,
Norman Ramsey,Tufts University,2008,Programming Languages,Princeton University,Princeton University
Remco Chang,Tufts University,2010,Human-Computer Interaction,Johns Hopkins University,University of North Carolina at Chapel Hill
Robert J. K. Jacobs,Tufts University,1994,Human-Computer Interaction,Johns Hopkins University,Johns Hopkins University
Samuel Z. Guyer,Tufts University,2005,Programming Languages,,University of Texas at Austin
Soha Hassoun,Tufts University,1998,Comp. Bio & Bioinformatics,University of South Dakota,University of Washington
Hui Gary Zhang,University College London,,Computer Networks,Peking University,"University of California, Berkeley"
Ahmet Erdem Sariyüce,University at Buffalo,2017,Computer Networks,Middle East Technical University,Ohio State University
Atri Rudra,University at Buffalo,2007,Theory,Indian Institute of Technology Kharagpur,University of Washington
Barry Smith,University at Buffalo,2009,Artificial Intelligence,University of Oxford,University of Manchester
Bharat Jayaraman,University at Buffalo,1989,Programming Languages,Indian Institute of Technology Madras,University of Utah
Chang Wen Chen,University at Buffalo,1983,Computer Networks,University of Science and Technology of China,University of Illinois at Urbana-Champaign
Changyou Chen,University at Buffalo,2017,Machine Learning & Data Mining,Fudan University,Australian National University
Chunming Qiao,University at Buffalo,,,,
Daniel Fischer,University at Buffalo,,Comp. Bio & Bioinformatics,Unidad Xochimilco,Tel Aviv University
David S. Doermann,University at Buffalo,1993,Computer Vision,Bloomsburg University of Pennsylvania,University of Maryland
Dimitrios Koutsonikolas,University at Buffalo,2015,Software Engineering,National Technical University of Athens,Purdue University
Geoffrey Challen,University at Buffalo,2011,Computer Networks,Harvard University,Harvard University
Hung Q. Ngo,University at Buffalo,,,,
Jan Chomicki,University at Buffalo,2000,Databases,,Rutgers University
Jaroslaw Zola,University at Buffalo,2014,Comp. Bio & Bioinformatics,Częstochowa University of Technology,Częstochowa University of Technology
Jing Gao,University at Buffalo,2011,Machine Learning & Data Mining,Harbin Institute of Technology,University of Illinois at Urbana-Champaign
Junsong Yuan,University at Buffalo,2018,Computer Vision,Huazhong University of Science and Technology,Northwestern University
Karthik Dantu,University at Buffalo,2013,Robotics,University of Mysore,University of Southern California
Kenneth W. Regan,University at Buffalo,1989,Theory,Princeton University,University of Oxford
Lu Su,University at Buffalo,2014,Computer Networks,Harbin Institute of Technology,University of Illinois at Urbana-Champaign
Lukasz Ziarek,University at Buffalo,2012,Programming Languages,University of Chicago,Purdue University
Marina Blanton,University at Buffalo,2007,Computer Security,Tyumen Industrial University,Purdue University
Marina Bykova,University at Buffalo,2017,Cryptography,Tyumen Industrial University,Purdue University
Matthew G. Knepley,University at Buffalo,2017,Software Engineering,Case Western Reserve University,Purdue University
Murat Demirbas,University at Buffalo,2005,,,Ohio State University
Nils Napp,University at Buffalo,2014,Computer Graphics,Harvey Mudd College,University of Washington
Oliver A. Kennedy,University at Buffalo,,,,
Ramalingam Sridhar,University at Buffalo,1987,Computer Architecture,University of Madras,Washington State University
Rohini K. Srihari,University at Buffalo,1998,,University of Waterloo,University at Buffalo
Russ Miller,University at Buffalo,1998,High-Performance Computing,State University of New York,State University of New York
Sargur N. Srihari,University at Buffalo,1978,Machine Learning & Data Mining,"Kendriya Vidyalaya Indian Institute of Science, Bangalore",University at Buffalo
Satish K. Tripathi,University at Buffalo,2004,,,University of Toronto
Shambhu J. Upadhyaya,University at Buffalo,1998,Computer Security,"Kendriya Vidyalaya Indian Institute of Science, Bangalore",University of Newcastle
Shi Li,University at Buffalo,2013,Algorithms & Complexity,Tsinghua University,Princeton University
Steven Y. Ko,University at Buffalo,2010,Operating Systems,Yonsei University,University of Illinois at Urbana-Champaign
Tevfik Kosar,University at Buffalo,2011,Databases,Boğaziçi University,University of Wisconsin-Madison
Varun Chandola,University at Buffalo,2013,Machine Learning & Data Mining,Indian Institute of Technology Madras,University of Minnesota
Venu Govindaraju,University at Buffalo,,,,
Vipin Chaudhary,University at Buffalo,2007,High-Performance Computing,Indian Institute of Technology Kharagpur,University of Texas at Austin
Weihang Wang,University at Buffalo,2018,Software Engineering,Purdue University,Purdue University
Wenyao Xu,University at Buffalo,2013,Computer Security,Zhejiang University,"University of California, Los Angeles"
Xin He,University at Buffalo,1987,Algorithms & Complexity,Lanzhou University,Ohio State University
Zhanpeng Jin,University at Buffalo,2018,Human-Computer Interaction,Northwestern Polytechnical University,University of Pittsburgh
Abram Hindle,University of Alberta,2011,Software Engineering,University of Victoria,University of Waterloo
Alona Fyshe,University of Alberta,,,,
Anup Basu,University of Alberta,1995,Computer Vision,Indian Statistical Institute,Aalborg University
Carrie Demmans Epp,University of Alberta,2018,Human-Computer Interaction,University of Saskatchewan,University of Toronto
Csaba Szepesvári,University of Alberta,2006,Machine Learning & Data Mining,,University of Szeged
Dale Schuurmans,University of Alberta,2003,Machine Learning & Data Mining,University of Alberta,University of Toronto
David S. Wishart,University of Alberta,1995,Comp. Bio & Bioinformatics,University of Alberta,Yale University
Davood Rafiei,University of Alberta,2007,Databases,,University of Toronto
Denilson Barbosa,University of Alberta,2008,Databases,Federal University of Pernambuco,University of Toronto
Duane Szafron,University of Alberta,1980,Comp. Bio & Bioinformatics,University of Regina,University of Waterloo
Ehab S. Elmallah,University of Alberta,,Computer Networks,Alexandria University,University of Waterloo
Eleni Stroulia,University of Alberta,2007,Artificial Intelligence,University of Patras,Georgia Institute of Technology
Grzegorz Kondrak,University of Alberta,2002,Natural Language Processing,Warsaw University of Technology,University of Toronto
Guohui Lin,University of Alberta,,Algorithms & Complexity,Zhejiang University,University of Chinese Academy of Sciences
Herb Yang,University of Alberta,2001,Computer Vision,Hong Kong University of Science and Technology,University of Pittsburgh
Hong Zhang,University of Alberta,1988,Computer Vision,Northeastern University,Purdue University
Ioanis Nikolaidis,University of Alberta,1997,High-Performance Computing,University of Patras,Georgia Institute of Technology
James R. Wright,University of Alberta,,,,
Janelle J. Harms,University of Alberta,2013,Computer Networks,University of Saskatchewan,University of Waterloo
Jia-Huai You,University of Alberta,2012,Artificial Intelligence,Guizhou University,University of Utah
Jonathan Schaeffer,University of Alberta,1984,Artificial Intelligence,University of Toronto,University of Waterloo
José N. Amaral,University of Alberta,2000,Algorithms & Complexity,Pontifical Catholic University of Rio de Janeiro,University of Texas at Austin
Jörg Sander,University of Alberta,2001,Databases,Ludwig Maximilian University of Munich,Ludwig Maximilian University of Munich
Karim Ali,University of Alberta,2016,Software Engineering,The American University in Cairo,University of Waterloo
Ken Wong,University of Alberta,2006,Software Engineering,University of Victoria,University of Victoria
Li-Yan Yuan,University of Alberta,1988,Artificial Intelligence,Shanghai Jiao Tong University,Case Western Reserve University
Lili Mou,University of Alberta,,,,
Lorna K. Stewart,University of Alberta,2014,Algorithms & Complexity,University of Saskatchewan,University of Toronto
Mario A. Nascimento,University of Alberta,1999,Databases,University of Campinas,Southern Methodist University
Martha White,University of Alberta,2014,Artificial Intelligence,University of Alberta,University of Alberta
Martin Jägersand,University of Alberta,2001,Computer Graphics,,University of Rochester
Martin Müller,University of Alberta,2000,Algorithms & Complexity,Graz University of Technology,ETH Zurich
Matthew Guzdial,University of Alberta,,,,
Michael Bowling,University of Alberta,2008,Machine Learning & Data Mining,Carnegie Mellon University,Carnegie Mellon University
Michael Buro,University of Alberta,2002,Machine Learning & Data Mining,,University of Paderborn
Michael H. MacGregor,University of Alberta,1999,Algorithms & Complexity,University of Alberta,University of Alberta
Mohammad R. Salavatipour,University of Alberta,2004,Algorithms & Complexity,,University of Toronto
Nathan R. Sturtevant,University of Alberta,,,,
Nilanjan Ray,University of Alberta,2006,Computer Vision,Jadavpur University,University of Virginia
Omid Ardakanian,University of Alberta,2017,Computer Networks,,University of Waterloo
Or Sheffet,University of Alberta,,,,
Osmar R. Zaïane,University of Alberta,1999,Machine Learning & Data Mining,Tunis University,Simon Fraser University
Paul Lu,University of Alberta,,High-Performance Computing,University of Alberta,University of Toronto
Pierre Boulanger,University of Alberta,2001,Simulation,Université Laval,McGill University
Randy Goebel,University of Alberta,2015,Machine Learning & Data Mining,University of Regina,University of British Columbia
Renee Elio,University of Alberta,1985,Human-Computer Interaction,Smith College,Carnegie Mellon University
Richard S. Sutton,University of Alberta,2003,Artificial Intelligence,Stanford University,University of Massachusetts Amherst
Robert C. Holte,University of Alberta,2001,Machine Learning & Data Mining,University of Manitoba,Brunel University
Russ Greiner,University of Alberta,1997,Artificial Intelligence,California Institute of Technology,Stanford University
Ryan B. Hayward,University of Alberta,1999,Algorithms & Complexity,Queen's University,McGill University
Sarah Nadi,University of Alberta,2016,Software Engineering,The American University in Cairo,University of Waterloo
Vadim Bulitko,University of Alberta,2008,Artificial Intelligence,Odessa University,University of Illinois at Urbana-Champaign
Yee-Hong Yang,University of Alberta,,,,
Zac Friggstad,University of Alberta,2014,Algorithms & Complexity,University of Lethbridge,University of Alberta
Max Welling,University of Amsterdam,2003,Machine Learning & Data Mining,,Utrecht University
Alon Efrat,University of Arizona,2000,Databases,Technion - Israel Institute of Technology,Tel Aviv University
Beichuan Zhang,University of Arizona,2005,Computer Networks,Peking University,"University of California, Los Angeles"
Carlos Eduardo Scheidegger,University of Arizona,2004,Computer Graphics,Federal University of Rio Grande do Sul,University of Utah
Chicheng Zhang,University of Arizona,,,,
Chris Gniady,University of Arizona,,Operating Systems,Purdue University,Purdue University
Christian S. Collberg,University of Arizona,1999,Computer Security,University of Arizona,Lund University
David K. Lowenthal,University of Arizona,2009,High-Performance Computing,"University of California, Davis",University of Arizona
Gregory R. Andrews,University of Arizona,,,,
Jason L. Pacheco,University of Arizona,,,,
John D. Kececioglu,University of Arizona,2000,Comp. Bio & Bioinformatics,University of Arizona,University of Arizona
John H. Hartman,University of Arizona,1994,High-Performance Computing,Brown University,"University of California, Berkeley"
Joshua A. Levine,University of Arizona,2012,Scientific Computing,Case Western Reserve University,Ohio State University
Kate Isaacs,University of Arizona,2016,Scientific Computing,California Institute of Technology,"University of California, Davis"
Katherine E. Isaacs,University of Arizona,,,,
Kobus Barnard,University of Arizona,2003,Computer Vision,,Simon Fraser University
Kwang-Sung Jun,University of Arizona,,,,
Larry L. Peterson,University of Arizona,2003,Computer Networks,University of Nebraska-Lincoln,Purdue University
Michael Chertkov,University of Arizona,,,,
Michelle Mills Strout,University of Arizona,2005,High-Performance Computing,"University of California, San Diego","University of California, San Diego"
Mihai Surdeanu,University of Arizona,2000,Natural Language Processing,,Southern Methodist University
Peter J. Downey,University of Arizona,1973,Algorithms & Complexity,,Harvard University
Ravi Sethi,University of Arizona,2014,Programming Languages,Indian Institute of Technology Kanpur,Princeton University
Richard T. Snodgrass,University of Arizona,1989,Databases,Carleton College,Carnegie Mellon University
Sandiway Fong,University of Arizona,2003,Natural Language Processing,Imperial College London,Massachusetts Institute of Technology
Saumya Debray,University of Arizona,1986,Programming Languages,Indian Institute of Technology Kharagpur,Stony Brook University
Stephen G. Kobourov,University of Arizona,2000,Algorithms & Complexity,Dartmouth College,Johns Hopkins University
Steven Bethard,University of Arizona,,,,
Steven Kobourov,University of Arizona,2000,Computer Graphics,Dartmouth College,Johns Hopkins University
Sudha Ram,University of Arizona,2008,Machine Learning & Data Mining,University of Madras,University of Illinois at Urbana-Champaign
Todd A. Proebsting,University of Arizona,2012,Machine Learning & Data Mining,Carleton College,University of Wisconsin-Madison
Alan J. Hu,University of British Columbia,1996,Computer Graphics,Stanford University,Stanford University
Alan K. Mackworth,University of British Columbia,1974,Artificial Intelligence,University of Toronto,University of Sussex
Alan Wagner,University of British Columbia,1987,High-Performance Computing,Dalhousie University,University of Toronto
Alexandra Fedorova,University of British Columbia,,,,
Ali Mesbah,University of British Columbia,,,,
Alla Sheffer,University of British Columbia,2003,Computer Graphics,Hebrew University of Jerusalem,Hebrew University of Jerusalem
Andrew Roth,University of British Columbia,,,,
Andrew Warfield,University of British Columbia,2011,Computer Graphics,University of Western Ontario,University of Cambridge
Anne Condon,University of British Columbia,1999,Algorithms & Complexity,University College Cork,University of Washington
Arvind Gupta,University of British Columbia,2009,Comp. Bio & Bioinformatics,McMaster University,University of Toronto
Bill Aiello,University of British Columbia,,Computer Networks,,
Chen Greif,University of British Columbia,2002,Scientific Computing,Tel Aviv University,University of British Columbia
Cristina Conati,University of British Columbia,2005,Artificial Intelligence,University of Milan,University of Pittsburgh
David L. Poole,University of British Columbia,1988,Artificial Intelligence,Flinders University,Australian National University
Dinesh K. Pai,University of British Columbia,1991,Computer Architecture,Indian Institute of Technology Madras,Cornell University
Dongwook Yoon,University of British Columbia,,,,
Eric Wohlstadter,University of British Columbia,2004,Software Engineering,"University of California, Davis","University of California, Davis"
F. Bruce Shepherd,University of British Columbia,,,,
Frank D. Wood,University of British Columbia,,,,
Gail C. Murphy,University of British Columbia,1996,Algorithms & Complexity,University of Alberta,University of Washington
Giuseppe Carenini,University of British Columbia,2010,Artificial Intelligence,University of Milan,University of Pittsburgh
Gregor Kiczales,University of British Columbia,1999,High-Performance Computing,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Helge Rhodin,University of British Columbia,,,,
Holger H. Hoos,University of British Columbia,2000,Artificial Intelligence,Technische Universität Darmstadt,Technische Universität Darmstadt
Hu Fu,University of British Columbia,,,,
Ian M. Mitchell,University of British Columbia,2003,Software Engineering,University of British Columbia,Stanford University
Irmtraud M. Meyer,University of British Columbia,2006,Comp. Bio & Bioinformatics,,University of Cambridge
Ivan Beschastnikh,University of British Columbia,2013,Software Engineering,,University of Washington
James J. Little,University of British Columbia,,,,
Jim Little,University of British Columbia,1988,Artificial Intelligence,Harvard University,University of British Columbia
Joanna McGrenere,University of British Columbia,2002,Human-Computer Interaction,University of Western Ontario,University of Toronto
Joel Friedman,University of British Columbia,1994,Algorithms & Complexity,Harvard University,"University of California, Berkeley"
Julia Mosin,University of British Columbia,,,,
Karon E. MacLean,University of British Columbia,2000,Human-Computer Interaction,Stanford University,Massachusetts Institute of Technology
Karthik Pattabiraman,University of British Columbia,,,,
Kevin Leyton-Brown,University of British Columbia,2004,Artificial Intelligence,McMaster University,Stanford University
Laks V. S. Lakshmanan,University of British Columbia,2001,Machine Learning & Data Mining,Alagappa Chettiar College of Engineering and Technology,"Kendriya Vidyalaya Indian Institute of Science, Bangalore"
Leonid Sigal,University of British Columbia,,,,
Margo I. Seltzer,University of British Columbia,1992,Operating Systems,Harvard University,"University of California, Berkeley"
Mark R. Greenstreet,University of British Columbia,1992,High-Performance Computing,California Institute of Technology,Princeton University
Mark Schmidt,University of British Columbia,2014,Machine Learning & Data Mining,University of Alberta,University of British Columbia
Matei Ripeanu,University of British Columbia,,,,
Michael J. Feeley,University of British Columbia,1997,Programming Languages,University of Washington,University of Washington
Michael P. Friedlander,University of British Columbia,2004,Algorithms & Complexity,Cornell University,Stanford University
Michiel van de Panne,University of British Columbia,2001,Computer Graphics,University of Calgary,University of Toronto
Nicholas J. A. Harvey,University of British Columbia,,,,
Nick Harvey,University of British Columbia,2011,Algorithms & Complexity,University of Waterloo,Massachusetts Institute of Technology
Norm Hutchinson,University of British Columbia,1991,Operating Systems,University of Calgary,University of Washington
Rachel Pottinger,University of British Columbia,2004,Machine Learning & Data Mining,Duke University,University of Washington
Raymond T. Ng,University of British Columbia,1992,Machine Learning & Data Mining,University of British Columbia,University of Maryland
Reid Holmes,University of British Columbia,2010,Human-Computer Interaction,University of British Columbia,University of Calgary
Robert Xiao,University of British Columbia,,,,
Ronald A. Rensink,University of British Columbia,2000,Computer Vision,University of Waterloo,University of British Columbia
Ronald Garcia,University of British Columbia,2011,High-Performance Computing,University of Notre Dame,Indiana University Bloomington
Tamara Munzner,University of British Columbia,2002,Computer Graphics,Stanford University,Stanford University
Tor M. Aamodt,University of British Columbia,,,,
Uri M. Ascher,University of British Columbia,1976,Scientific Computing,Tel Aviv University,University of Minnesota Morris
V. S. Lakshmanan,University of British Columbia,,,,
William J. Bowman,University of British Columbia,,,,
William S. Evans,University of British Columbia,2001,Algorithms & Complexity,Yale University,"University of California, Berkeley"
Anthony Hoi Tin Tang,University of Calgary,2008,Human-Computer Interaction,Simon Fraser University,University of British Columbia
Carey L. Williamson,University of Calgary,2008,Computer Networks,University of Saskatchewan,Stanford University
Christian Jacob,University of Calgary,1999,Algorithms & Complexity,University of Erlangen-Nuremberg,University of Erlangen-Nuremberg
Ehud Sharlin,University of Calgary,2004,Human-Computer Interaction,Ben-Gurion University of the Negev,University of Alberta
Faramarz F. Samavati,University of Calgary,2001,Computer Graphics,,
Frank Maurer,University of Calgary,,Software Engineering,University of Kaiserslautern,University of Kaiserslautern
Guenther Ruhe,University of Calgary,2002,Software Engineering,University of Kaiserslautern,Freiberg University of Mining and Technology
J. Robin B. Cockett,University of Calgary,,High-Performance Computing,Warwick Manufacturing Group,University of Leeds
Jeffrey E. Boyd,University of Calgary,,Computer Vision,University of Calgary,University of British Columbia
John Aycock,University of Calgary,2001,Computer Security,University of Calgary,University of Victoria
Jon G. Rokne,University of Calgary,1970,Algorithms & Complexity,,University of Calgary
Jörg Denzinger,University of Calgary,2003,Artificial Intelligence,University of Kaiserslautern,University of Kaiserslautern
Ken Barker,University of Calgary,1999,Databases,University of Calgary,University of Alberta
Lora Oehlberg,University of Calgary,2015,Software Engineering,Stanford University,"University of California, Berkeley"
Majid Ghaderi,University of Calgary,2007,Computer Networks,,University of Waterloo
Marina Gavrilova,University of Calgary,1998,Computer Graphics,Moscow State University,University of Calgary
Mario Costa Sousa,University of Calgary,2001,Computer Graphics,Universidade Católica de Petrópolis,University of Alberta
Mea Wang,University of Calgary,2008,Computer Networks,University of Manitoba,University of Toronto
Michael E. Locasto,University of Calgary,2010,Computer Security,The College of New Jersey,Columbia University
Michael J. Jacobson Jr.,University of Calgary,2002,Computer Security,,
Payman Mohassel,University of Calgary,2009,Computer Security,"University of California, Davis","University of California, Davis"
Peter Hoyer,University of Calgary,2003,Algorithms & Complexity,University of Southern Denmark,University of Southern Denmark
Philip W. L. Fong,University of Calgary,2009,Computer Security,University of Waterloo,Simon Fraser University
Philipp Woelfel,University of Calgary,2007,Algorithms & Complexity,,TU Dortmund
Przemyslaw Prusinkiewicz,University of Calgary,,Computer Graphics,,Warsaw University of Technology
Reda Alhajj,University of Calgary,,Databases,Middle East Technical University,Bilkent University
Reihaneh Safavi-Naini,University of Calgary,2007,Computer Security,University of Tehran,University of Tehran
Renate Scheidler,University of Calgary,2001,Computer Security,University of Cologne,University of Manitoba
Rob Kremer,University of Calgary,,Artificial Intelligence,University of Calgary,University of Calgary
Robert J. Walker,University of Calgary,2002,Software Engineering,University of British Columbia,University of British Columbia
Saul Greenberg,University of Calgary,1991,Human-Computer Interaction,McGill University,University of Calgary
Sonny Chan,University of Calgary,,Human-Computer Interaction,University of Calgary,Stanford University
Usman R. Alim,University of Calgary,2012,Computer Graphics,University of Rochester,Simon Fraser University
Wayne Eberly,University of Calgary,,Algorithms & Complexity,,
Wesley J. Willett,University of Calgary,2015,Computer Graphics,University of Colorado Boulder,"University of California, Berkeley"
Zongpeng Li,University of Calgary,2005,Computer Networks,Tsinghua University,University of Toronto
Aditya G. Parameswaran,"University of California, Berkeley",2014,Databases,Indian Institute of Technology Bombay,Stanford University
Alberto L. Sangiovanni-Vincentelli,"University of California, Berkeley",,,,
Alessandro Chiesa,"University of California, Berkeley",2015,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Alexandre M. Bayen,"University of California, Berkeley",,,,
Alexei A. Efros,"University of California, Berkeley",2013,Computer Vision,University of Utah,"University of California, Berkeley"
Ali Javey,"University of California, Berkeley",,,,
Ali M. Niknejad,"University of California, Berkeley",,,,
Alistair Sinclair,"University of California, Berkeley",,Algorithms & Complexity,University of Cambridge,University of Edinburgh
Alvin Cheung,"University of California, Berkeley",2014,Machine Learning & Data Mining,Stanford University,Massachusetts Institute of Technology
Ana Claudia Arias,"University of California, Berkeley",,,,
Anant Sahai,"University of California, Berkeley",,,,
Anca D. Dragan,"University of California, Berkeley",,,,
Angjoo Kanazawa,"University of California, Berkeley",,,,
Anthony D. Joseph,"University of California, Berkeley",1998,Operating Systems,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Armando Fox,"University of California, Berkeley",2012,Operating Systems,Massachusetts Institute of Technology,"University of California, Berkeley"
Asanovic,"University of California, Berkeley",2007,Computer Architecture,University of Cambridge,"University of California, Berkeley"
Avideh Zakhor,"University of California, Berkeley",,,,
Bala Kameshwar Poolla,"University of California, Berkeley",,,,
Ben Recht,"University of California, Berkeley",2013,Machine Learning & Data Mining,University of Chicago,Massachusetts Institute of Technology
Bernd Sturmfels,"University of California, Berkeley",1995,Comp. Bio & Bioinformatics,,University of Washington
Bernhard E. Boser,"University of California, Berkeley",,,,
Bin Yu,"University of California, Berkeley",,,,
Bjoern Hartmann,"University of California, Berkeley",2009,Human-Computer Interaction,University of Pennsylvania,Stanford University
Borivoje Nikolic,"University of California, Berkeley",,,,
Brian A. Barsky,"University of California, Berkeley",1981,Comp. Bio & Bioinformatics,McGill University,University of Utah
Chang Ming Wu,"University of California, Berkeley",,,,
Chunlei Liu,"University of California, Berkeley",,,,
Constance J. Chang-Hasnain,"University of California, Berkeley",,,,
Costas J. Spanos,"University of California, Berkeley",,,,
Daniel Klein,"University of California, Berkeley",2006,Natural Language Processing,Cornell University,Stanford University
David A. Wagner,"University of California, Berkeley",2000,Computer Security,Princeton University,"University of California, Berkeley"
David Bamman,"University of California, Berkeley",,,,
David Culler,"University of California, Berkeley",1989,Operating Systems,"University of California, Berkeley",Massachusetts Institute of Technology
Dawn Song,"University of California, Berkeley",2002,Computer Security,Tsinghua University,"University of California, Berkeley"
Edward A. Lee,"University of California, Berkeley",,,,
Elad Alon,"University of California, Berkeley",,,,
Eli Yablonovitch,"University of California, Berkeley",,,,
Eric A. Brewer,"University of California, Berkeley",1994,Programming Languages,"University of California, Berkeley",Massachusetts Institute of Technology
Eric Paulos,"University of California, Berkeley",2008,Human-Computer Interaction,,"University of California, Berkeley"
George C. Necula,"University of California, Berkeley",,Programming Languages,Politehnica University of Bucharest,Carnegie Mellon University
Hany Farid,"University of California, Berkeley",1999,,University of Rochester,University of Pennsylvania
Ion Stoica,"University of California, Berkeley",2000,Computer Networks,,Carnegie Mellon University
James Demmel,"University of California, Berkeley",1990,Computer Architecture,California Institute of Technology,"University of California, Berkeley"
James F. O'Brien,"University of California, Berkeley",2000,Computer Graphics,Florida International University,Georgia Institute of Technology
Jan M. Rabaey,"University of California, Berkeley",,,,
Jelani Nelson,"University of California, Berkeley",2013,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Jennifer Listgarten,"University of California, Berkeley",2018,Artificial Intelligence,Queen's University,University of Toronto
Jitendra Malik,"University of California, Berkeley",1986,Computer Vision,Indian Institute of Technology Kanpur,Stanford University
John Canny,"University of California, Berkeley",1987,Artificial Intelligence,University of Adelaide,Massachusetts Institute of Technology
John D. Kubiatowicz,"University of California, Berkeley",1998,Operating Systems,Massachusetts Institute of Technology,Massachusetts Institute of Technology
John Wawrzynek,"University of California, Berkeley",1988,Computer Architecture,State University of New York,California Institute of Technology
Jonathan Ragan-Kelley,"University of California, Berkeley",,,,
Jonathan Richard Shewchuk,"University of California, Berkeley",1997,Scientific Computing,Simon Fraser University,Carnegie Mellon University
Jose M. Carmena,"University of California, Berkeley",2011,Robotics,Polytechnic University of Valencia,University of Edinburgh
Joseph E. Gonzalez,"University of California, Berkeley",,,,
Joseph M. Hellerstein,"University of California, Berkeley",1998,Databases,Harvard University,University of Wisconsin-Madison
Kannan Ramchandran,"University of California, Berkeley",1999,Robotics,City College of New York,Columbia University
Katherine A. Yelick,"University of California, Berkeley",1991,Scientific Computing,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Kathy Yelick,"University of California, Berkeley",1991,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Ken Goldberg,"University of California, Berkeley",1995,Artificial Intelligence,University of Pennsylvania,Carnegie Mellon University
Koushik Sen,"University of California, Berkeley",2006,Programming Languages,Indian Institute of Technology Kanpur,University of Illinois at Urbana-Champaign
Krste Asanovic,"University of California, Berkeley",2007,Computer Architecture,,"University of California, Berkeley"
Kurt Keutzer,"University of California, Berkeley",1998,Machine Learning & Data Mining,Maharishi International University,Indiana University Bloomington
Laura Waller,"University of California, Berkeley",2015,Computer Graphics,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Laurent El Ghaoui,"University of California, Berkeley",2007,Machine Learning & Data Mining,École polytechnique,Stanford University
Marti A. Hearst,"University of California, Berkeley",1997,Human-Computer Interaction,"University of California, Berkeley","University of California, Berkeley"
